"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","46019","AACS 107 (3, 3)","Cult Divers &amp; Local Global Com","M","1:40 PM - 4:30 PM","Khandelwal, Madhulika","RA 209","3","20","In-Person",
"02","46048","AACS 370 (3, 3)","Field Work  Asian American Com","&nbsp;"," - ","Chatterjee, Nilanjana"," ","3","15","In-Person",
"01","36743","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","10:45 AM - 12:00 PM","Milo, Michael","KY 419","27","25","In-Person",
"03","36745","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M, W","5:00 PM - 6:15 PM","Ho, Vivian","HH 17","19","25","In-Person",
"02","36744","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","3:10 PM - 4:25 PM","Milo, Michael","KY 419","25","25","In-Person",
"07","38703","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","6:55 PM - 8:35 PM","Ruthizer, Scott","PH 116","40","40","In-Person",
"08","38710","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","8:50 PM - 10:30 PM","Zapf, Michael","PH 110","28","40","In-Person",
"10","38718","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","S","1:00 PM - 4:40 PM","Dietz, George","PH 116","40","40","In-Person",
"11","38720","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","SU","8:20 AM - 12:00 PM","Mintz, Chana","PH 114","26","40","In-Person",
"04","37535","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","5:00 PM - 6:40 PM","Erlach, David","RO 230","96","95","In-Person",
"05","37536","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","RA 201","41","40","In-Person",
"06","37545","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","10:05 AM - 11:55 AM","Solarsh, Eva","KY 431","31","30","In-Person",
"03","37409","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W, F","10:05 AM - 11:55 AM","Erlach, David","PH 118","45","45","In-Person",
"02","37407","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W, F","8:00 AM - 9:50 AM","Gruza, Marvin","KY 317","28","35","In-Person",
"01","37403","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 130","54","55","In-Person",
"09","38712","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","F","6:30 PM - 10:20 PM","Solarsh, Eva","PH 130","40","40","Hybrid",
"05","38722","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","M, W","8:50 PM - 10:40 PM","Ruthizer, Scott","PH 116","39","40","In-Person",
"06","38724","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","6:55 PM - 8:35 PM","Dockery, Marlene","RA 201","40","40","In-Person",
"07","38770","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","F","6:30 PM - 10:20 PM","Benjamin, Ranjitkumar","PH 110","30","40","In-Person",
"08","38773","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","SU","8:20 AM - 12:00 PM","Benjamin, Ranjitkumar","PH 112","36","40","In-Person",
"09","38778","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","S","8:20 AM - 12:00 PM","Khanna, Himanshu","PH 110","37","40","In-Person",
